,gam,gam_arima,gam_arima2,gam_sa,kal_gam_static,kal_gam_dyn_gs,kal_gam_dyn_em,kal_gam_dyn_big,rf,rf_arima,gb,gb_arima
0,58063.8732266061,57766.0070087484,57787.2082719205,50601.2652102723,57554.41325575175,57570.659270544886,57896.778244420806,57119.88564442809,58940.10375000001,58329.31037936154,60792.95777079202,59280.69482069209
1,57328.50462071,57149.385483252685,56965.6574087037,51677.0910877294,57361.824317456354,57250.828816951616,56197.98751477645,52996.85977609089,57745.00624999999,56158.40790637151,57267.95494125752,54454.935559833066
2,54508.7433885189,53689.18550467333,53529.7294786916,49274.276629691,55001.06231389729,54529.396481078686,52674.74873942225,52973.256081060616,54341.94520833332,52312.596375007015,55164.70666273748,52528.13806919129
3,52079.9533122253,48390.17174949916,50940.9956528115,46913.4149067792,52452.01158734272,51463.23798135093,48751.189939184376,49005.886311644725,50929.75020833333,48354.79171737285,52799.02299882136,49136.12117484172
4,51136.5078306591,46611.32149381331,49911.2009073529,46528.1764368192,51051.31960053808,49713.9036023181,47079.74483318635,47191.33911179309,52433.911875,49974.82217300057,51608.46761669827,47543.796796639406
5,47431.9490758452,42626.08125773039,46237.663296115,47431.9490758452,47303.60507620342,46042.85408909369,45307.28736217882,44937.20816652462,52180.58270833332,48187.45790825284,50414.30692217423,45785.038728608655
6,48147.0660507299,46649.43818498711,47569.7639115926,48092.445283215,47380.90934556604,46143.481940518,45748.79792252656,47051.98806505356,51007.75625000003,46200.51317432415,49880.01572115989,45175.64322274654
7,56020.2672809683,55526.19683653918,55550.7208744857,48557.6592646345,55539.43914211447,53851.50423465204,51264.86322170047,52244.4237928806,56706.10729166668,52087.31679122521,55752.66472621242,51625.27182686326
8,56648.511162955,51040.829727378165,55190.0861080218,50997.0976299743,56033.14102547712,54103.45041768842,52156.15887025361,49684.7876892629,55545.51520833335,49992.45224524414,57127.37087596452,51894.08830563936
9,57840.8515532128,53777.144105969855,55829.0394478686,52606.384794385,56973.49895917501,54840.87163365664,53040.07232178794,52574.31631229061,55963.51354166668,51231.94053522944,57862.84550552074,52362.74922938449
10,58917.4022216884,54062.703979214624,56733.3800017839,53750.8638162423,57822.8516129149,55450.97384552654,53424.84364956676,53057.259706714445,57922.24812500001,52795.43075499407,58598.98606759698,53059.26428130437
11,56846.4303637652,53114.1525849908,55071.7929027882,52238.0989699253,56034.42088046462,53344.24798090245,51133.38233245049,50467.15489184113,54420.07791666667,49069.67655348395,55996.56241474521,50591.28186055568
12,49540.0068116075,45077.201159741046,48553.6226427551,49540.0068116075,49124.03240490356,46552.02546645579,46970.48067020327,45991.893654329295,49555.04354166666,45477.205872352,49368.940239817,44609.59046480003
13,49350.8469588203,46354.88315264961,48588.2775564109,49296.2261913054,49416.65415420475,47110.6548059468,48275.99549611359,50313.88010589771,49333.00812499999,45197.52820896623,48528.97154331353,44381.57014204954
14,61045.7239374031,58578.751364784766,60034.2343634962,53583.1159210693,59827.275301860034,57164.45830124733,54774.16839502603,56004.66958205551,61106.860208333324,58302.657765480406,58894.55800545236,55955.09036393786
15,60112.5489334555,54691.95670257535,58582.7126604188,54461.1354004748,59291.89651716269,56429.52205768157,55038.47789192419,51003.84501048642,59501.64125000001,55047.791007874905,59656.50512665621,55979.54251343154
16,58113.7253394568,53313.03994508209,56214.0424623511,52879.258580629,57572.30132395178,54490.47752792269,53080.33735609514,52814.65594720615,57736.94104166667,53225.63947204767,57420.23225531999,53005.23047086965
17,57379.1141733133,52295.556712984,55215.9590195241,52212.5757678672,56804.28683323658,53563.48657097616,52302.02008885398,52471.258269518,57630.91187500002,53629.01716285967,57046.962899458136,52906.64970838578
18,55323.6955127548,51129.20077647328,53635.2857958506,50715.3641189149,54902.47979067488,51529.93170956565,50270.00882214653,50488.12386375819,56547.681249999965,52408.22375549231,55215.364340593325,51274.9773933643
19,47169.2558309521,44023.66550152456,46111.485829137,47169.2558309521,47565.41547185233,44446.86746855912,45116.0293151379,45760.412988333046,50834.11208333333,46204.39624913226,48806.425152443386,44869.569799959776
20,42836.7926908814,42106.17511906049,42474.4300163412,42782.1719233665,43894.04829269131,40853.739121031365,41392.23560815659,43652.74039331565,45534.13833333335,40180.07624926089,44312.08392347826,40439.38449752446
21,50239.8086232471,46852.72158791668,49453.3927789266,42777.2006069133,49887.783413754165,46212.31312035496,42732.38069857875,46026.02653538678,50552.06250000002,45868.82447903539,50606.235436332005,46884.715820707
22,48482.2562627453,43055.1645502983,46887.1931264463,42830.8427297646,48521.67073355153,44768.67249114705,43146.73719398653,42071.23941891849,49193.455000000016,43609.03063168831,47937.9559365921,42981.84008766626
23,47240.595416305,43996.24999343202,45622.8594414364,42006.1286574772,47438.5630072099,43661.70212328096,42582.02423616232,43285.891338190966,48004.76479166667,42796.42470767002,46838.09118049046,42674.14849917682
24,46077.6720433299,41067.65331753249,44414.7596198884,40911.1336378837,46323.83310081627,42482.96482538762,41685.14104404441,42444.6350225177,46892.06937500002,41588.896070312505,46367.50281814351,42312.21920032121
25,44861.2029964233,41408.89416049855,43682.5207596652,40252.8716025834,44794.7334608269,40974.27466604137,40534.32136526349,41305.920524335954,45384.26666666669,40564.83041788443,45688.11265055817,41824.78466340549
26,39418.3649406004,36129.17103830759,38714.5773955653,39418.3649406004,39099.176213419705,35785.86414726244,37190.22385946283,38312.19051274286,42381.72041666668,37764.6058584087,41436.04299094714,37118.61747123297
27,33414.3170071965,30023.72428384313,32935.9563453061,33359.6962396816,37473.08729948364,34492.9173013706,36385.64720152653,38646.85270118945,39497.25458333333,34554.24868026556,37990.85307311899,33775.86629979019
28,41086.0328586524,39029.08230041702,41061.0746134819,33623.4248423186,44802.7828987402,41253.99607924672,39828.279644041,41845.18070723039,42117.60770833336,38244.88406768854,41134.91027989882,38428.38000914079
29,45511.1979050891,39577.01998136675,45101.2443960819,39859.7843721084,44912.130517275626,41345.802459732186,39909.12725497714,38793.91972543845,44954.38708333334,40573.24503965894,45272.31136614295,42013.30008991919
30,46150.0075202346,43137.09942893271,45413.3042407334,40915.5407614068,45890.06372141823,42423.90605642577,41682.53514321865,41106.762095342616,44682.86479166667,41290.194024002536,45224.6332188984,42232.39195249883
31,45856.7725228228,41092.49678160183,44579.6042779749,40690.2341173767,45319.24551714745,41943.50358244685,42046.57132359782,42556.49419434977,44506.01291666667,41891.83700657694,43404.32915168541,40945.60687789855
32,44762.3042389175,40322.96103327947,43595.0565629354,40153.9728450776,43964.62501137184,40755.10241452231,41501.92480522449,42304.76426271007,43438.94104166666,40856.86280837354,42762.75170876175,41165.54004972019
33,39423.0238966841,36192.101822084325,38884.7611837608,39423.0238966841,38686.46457484458,36140.14682938893,38705.87620800378,39624.71472686387,38942.58145833334,36623.67771007621,39854.17903887614,38416.8947478031
34,38327.6088773875,39218.24519881558,38604.2742874465,38272.9881098726,37422.646544020936,35193.94667837473,37588.817431207965,39039.43044189814,36464.247500000005,34515.091369306305,39293.67227108129,37483.348117678106
35,45301.0576102404,42701.53612339347,44733.9075373428,37838.4495939066,44135.978361524045,41149.10906153628,40802.71999393571,40571.200658616144,44580.26104166665,44065.36334233057,44378.210692526176,42649.33778679267
36,46130.9662689561,42462.79203396366,45232.7623263133,40479.5527359754,44984.6581178819,42257.31009535149,42532.4196090249,40415.26351220091,43056.02770833336,41425.17150880286,44525.55602020559,42652.17434016711
37,45759.528024344,42740.7568303466,44811.436374655,40525.0612655162,44910.144185753175,42271.31746905194,42590.742410343264,42137.00825455939,43140.72062500001,42112.34040355968,44292.81746512708,42650.52612893345
38,45147.0744374518,41914.05935499846,44139.5480564116,39980.5360320057,44576.32336775279,41992.0842737762,42349.52143275735,42458.2825666936,44150.56666666668,43214.45130020281,42933.57650788439,41271.25982968421
39,44156.3017597079,40923.31441005946,43323.521259473,39547.970365868,43542.48820896643,41070.20132781623,41551.51581174589,41813.05509050926,42908.49,41860.84037141064,42551.60964864508,41233.9866193493
40,39111.8369269247,36949.10689934815,38525.0592606262,39111.8369269247,38509.545382246906,36694.29235100612,38277.1698974799,39331.61597568114,38900.14750000001,37960.46316095094,39854.17903887614,38380.07699346983
41,37420.9540768009,36287.77671921299,37008.1710439555,37366.3333092859,36853.922078285344,35245.06437103814,36879.008352273,38386.26204574782,36396.0,34970.793993136496,38244.376642639465,36481.64781474602
42,44760.5572316863,42429.748891709954,44402.2109123617,37297.9492153525,43798.71627241816,41355.77021744788,41337.18741288671,40734.28214186449,44022.91916666666,43855.38858992711,43787.8411524785,42368.72337063767
43,45802.5526311984,42213.8940205836,45002.8439975224,40151.1390982177,44793.62976682633,42568.749143170746,42387.69160814479,40408.49013941073,43631.40229166667,42047.12626262428,44161.899874514864,42310.23992039746
44,46318.7826669469,43418.59275316591,45414.7287316973,41084.315908119,45270.37355886702,43139.44806309828,43052.109788964575,42678.640056134056,44026.708125,42784.97605890368,44870.18585568421,43483.19138063202
45,47308.1571809064,43790.67856266174,46328.9339310015,42141.6187754603,46046.2835490348,44022.75231029495,44115.28429883434,44258.6131164132,44650.07979166668,43787.38083754234,45389.02279245914,44002.72565824339
46,41790.9039050279,38399.52827115169,40951.354778691,37182.572511188,45273.72366731476,43342.852997740425,43492.523515187415,43484.84668446966,42248.17604166666,41647.004048740695,41140.230107978496,39710.164936678935
47,39018.9878392524,36547.79364380808,38525.8054313915,39018.9878392524,37763.95148340828,36132.26941260941,36502.91560578898,36731.847166323714,37829.69854166667,36338.03446874119,41309.2233329189,39700.25540804445
48,38187.8332198046,37524.453992890776,38171.6140711759,38133.2124522897,37373.75224008906,36060.70588936373,37905.31950238385,38712.301592830365,37289.47562500001,36841.29444573152,38709.12424345891,36884.95783220248
49,44659.5726350943,42690.80125044223,44477.0616069329,37196.9646187605,43850.08667134375,41591.20379055818,40041.67657772366,40898.63237514357,43614.41875,43592.91107463831,43389.36540377726,42260.49370560958
